X;Juge1;Juge2;Juge3;Juge4;Juge5;Juge6;Juge7;Juge8;Juge9;Juge10;Juge11;Juge12;Juge13;Juge14;Juge15;Juge16;Juge17;Juge18;Juge19;Juge20;Juge21;Juge22;Juge23;Juge24;Juge25;Juge26;Juge27;Juge28;Juge29;Juge30;Juge31;Juge32;Juge33;Juge34;Juge35;Juge36;Juge37;Juge38;Juge39;Juge40;Juge41;Juge42;Juge43;Juge44;Juge45;Juge46;Juge47;Juge48;Juge49;Juge50;Juge51;Juge52;Juge53;Juge54;Juge55;Juge56;Juge57;Juge58;Juge59
Jaf_SP_F;4;3;4;8;2;1;3;2;4;3;4;5;2;1;3;7;5;3;1;2;4;2;3;2;4;6;4;2;2;4;5;1;3;1;3;4;3;3;1;3;3;4;4;3;1;3;3;5;1;1;6;5;6;6;4;4;3;3;5
Jaf;4;1;1;6;1;3;3;6;2;1;2;4;4;4;1;4;4;4;1;3;10;5;3;4;4;3;3;5;6;4;5;1;3;3;4;4;2;3;4;3;3;4;4;5;2;3;3;4;1;1;5;4;5;4;4;4;6;3;5
Trop_AP_F;3;5;2;5;3;2;4;3;2;2;1;4;6;3;4;6;3;4;5;3;9;3;4;4;4;5;1;3;2;4;5;3;4;3;4;4;5;3;4;3;6;4;1;4;6;3;3;4;2;3;4;4;5;6;3;4;1;3;2
Bio;1;3;5;4;2;1;1;4;6;1;4;1;3;2;5;2;2;2;1;5;5;1;3;1;3;6;3;1;1;2;4;2;2;2;1;2;1;1;2;4;2;1;2;2;4;2;2;3;3;4;1;1;1;2;1;1;4;1;1
Jock;1;2;2;2;4;4;2;2;2;3;1;5;5;2;2;7;5;3;3;1;2;4;2;2;2;1;5;5;5;1;2;4;1;1;2;3;2;4;3;4;3;2;1;2;1;1;4;2;2;2;2;2;2;3;2;2;5;4;4
And_F;3;1;4;1;1;4;2;3;2;4;2;2;4;1;3;5;5;3;2;3;7;3;1;5;4;2;3;2;2;4;2;3;1;2;2;1;5;3;1;3;6;4;1;4;6;4;3;5;4;3;3;2;5;5;4;4;2;4;3
Trop_SP_F;1;4;2;2;4;4;1;2;2;3;2;5;1;4;2;3;5;3;3;2;1;2;4;2;1;1;1;3;5;3;1;4;5;2;2;2;4;4;3;1;6;3;3;1;3;1;4;1;4;3;2;2;3;1;2;2;5;4;4
Jaf_AP_F;3;5;1;8;3;2;4;5;5;2;3;2;4;3;6;3;1;4;4;4;8;5;3;5;2;6;2;4;6;2;2;4;5;1;3;1;4;4;3;1;3;2;3;6;1;1;4;2;2;3;5;3;3;4;2;2;5;4;1
Trop_SP;4;4;3;1;4;4;2;4;3;3;2;5;5;4;1;1;5;1;2;2;3;4;2;2;2;5;1;1;6;3;2;4;1;1;2;3;2;1;2;4;1;3;4;6;3;1;4;2;4;3;2;2;2;1;3;3;5;4;4
Trop_AP;2;4;2;1;1;2;1;3;3;4;3;3;6;3;4;3;1;1;3;4;6;3;2;4;1;4;1;3;6;1;3;4;3;3;3;4;5;2;1;2;6;2;1;4;5;4;3;5;4;5;6;4;6;5;4;4;2;2;3
Trop_pulipissimo;2;5;2;7;5;2;4;5;2;2;3;3;6;3;4;6;3;4;5;4;9;3;1;4;4;4;4;2;3;4;3;3;4;3;4;4;5;2;4;3;5;4;3;4;5;4;5;5;3;5;6;5;4;6;4;4;3;3;2
Jaf_israel;4;2;5;3;2;3;2;1;1;1;2;6;1;2;5;2;6;1;2;5;3;1;3;3;1;4;5;3;4;3;4;4;1;4;2;2;4;4;2;4;4;3;2;6;5;1;1;1;2;2;1;1;2;4;3;3;5;4;4
